score,neurons,dropout,dense_neurons,lr,optimizer,rotation,layers
0.8360902070999146,109,0.0376210745120541,852,0.007179202232340566,nadam,0.0034366028480472067,2
0.9834586381912231,148,0,256,0.007179202232340566,nadam,0.0034366028480472067,2
0.8436090350151062,100,0,256,0.0001,adam,0,1
0.9548872113227844,100,0,256,0.0001,sgd,0,4
0.9533834457397461,142,0,256,0.01,adam,0,4
0.9082706570625305,123,0.03259892947096782,342,0.007469284735129439,sgd,0.0061403489232461925,4
0.6000000238418579,100,0.5,1280,0.01,adam,0,4
0.5639097690582275,148,0.2679589299109975,256,0.01,sgd,0.03,4
0.8751879930496216,121,0.20865824500736638,256,0.01,adam,0,1
0.8105263113975525,127,0.1923522912229551,834,0.004023002745452362,adam,0.01551850379896553,1
0.5939849615097046,148,0.4934517048871329,256,0.01,adam,0.024742660254802713,1
0.6661654114723206,100,0.5,1280,0.0026875257509772874,adam,0.016717771457130253,1
0.7609022259712219,137,0.04537909121196104,662,0.0044007264365966805,adam,0.015179300008495216,2
0.8902255892753601,148,0.47422144905399954,256,0.01,adam,0,1
0.5383458733558655,148,0.5256,256,0.01,sgd,0,1
